zh_TW,zh-CN,en-EN,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
zh_TW,zh-CN,en-EN,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
已切換為{state},,,,,,,,,,,,,,,app.changeAccountType
模擬,模拟,simulation,การจำลอง,8,10,シミュレーション,8,2,시뮬레이션,5,2,mô phỏng,8,10,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,,,,,,,,,,,,,,,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
請先登入,,,,,,,,,,,,,,,"common.loginFirst,requestError.noAuth"
聯匯,,,,,,,,,,,,,,,common.appName
模擬交易下無法使用此功能,,,,,,,,,,,,,,,common.notInSimulated
取消,取消,Cancel,ยกเลิก,6,6,キャンセル,5,2,취소,2,2,Hủy bỏ,6,6,"common.cancel,agentProfitSharing.filterPopup.cancelButton,agentProfitSharingSearch.cancel,agentUser.filterPopup.cancelButton,agentUserSearch.cancel,agentReferralCodeSearch.cancel,agentReferralCodeList.descriptionPopup.cancelButton,agentReferralCodeFunctionPopup.cancelButton,editAgentReferralCode.descriptionPopup.cancelButton,addAgentReferralCodePopup.cancelButton,agentTransactionSettingList.descriptionPopup.cancelButton,agentUsersDetail.descriptionPopup.cancelButton,agentUserPaymentHistory.filterPopup.cancelButton,agentFundingDetails.filterPopup.cancelButton,agentTransactionSettingSearch.cancel,agentUserProfitSharingForm.filterPopup.cancelButton,agentFundingDetailsSearch.cancel"
確認,确认,Confirm,ยืนยัน,6,7,確認,2,2,확인,2,2,Xác nhận,8,7,"common.confirm,receiveAwardPopup.confirmButton,listScrollSheet.confirmButton"
功能關閉中,,,,,,,,,,,,,,,common.futureClosed
買入,买入,Buy,ซื้อ,4,3,買う,2,2,구입하다,4,2,Mua,3,3,"common.buyIn,agentFundingPositionsList.buyingTitle,agentFundingPositionsDetail.buyingTitle"
賣出,卖出,Sell,ขาย,3,4,売る,2,2,팔다,2,2,Bán,3,4,"common.sellOut,agentFundingPositionsList.sellTitle,agentFundingPositionsDetail.sellTitle"
USD,,,,,,,,,,,,,,,common.priceUnit
手,,,,,,,,,,,,,,,common.lotsUnit
X,,,,,,,,,,,,,,,common.leverUnit
登出,,,,,,,,,,,,,,,common.logout
登入,登入,Sign in,เข้าสู่ระบบ,11,7,ログインする,6,2,로그인,3,2,Đăng nhập,9,7,common.login
止損,止损,Stop loss,หยุดการสูญเสีย,14,9,停止損失,4,2,손실을 중지하십시오,10,2,Chặn đứng tổn thất,18,9,common.stopLoss
止盈,止盈,Make a profit,ทำกำไร,6,13,利益を上げます,7,2,이윤을 내다,6,2,Tạo ra lợi nhuận,16,13,common.stopProfit
