zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
搜尋,,,,,,2,,,2,,,2,,,4,search.a1
清除,清除,Clear,,ชัดเจน,,2,削除する,,2,제거하다,,2,Thanh trừ,,4,search.a2
其他篩選條件,,,,,,7,,,6,,,8,,,13,search.a3
清除所有篩選條件,,,,,,9,,,8,,,11,,,18,search.a4
篩選,筛选,Filter,,กรอง,,2,フィルター,,2,필터,,2,Sàng lọc,,4,search.a5
日期,日期,Date,,วันที่,,2,日にち,,2,데이트,,2,Ngày tháng,,4,search.a6
起始日期,,,,,,4,,,4,,,5,,,9,search.a7
結束日期,,,,,,4,,,4,,,5,,,9,search.a8
請選擇國家,,,,,,5,,,5,,,7,,,11,search.a9
請輸入姓名來搜尋,,,,,,9,,,8,,,11,,,18,search.a10
交易數量,,,,,,4,,,4,,,5,,,9,search.a11
交易品項,交易品项,Trading Items,,รายการซื้อขาย,,4,トランザクションアイテム,,4,거래 항목,,5,Hạng mục giao dịch,,9,"search.a12,overallOverview.a81,transactionItemList.a3"
請選擇交易品項,请选择交易品项,Please select a trading item.,,กรุณาเลือกรายการซื้อขาย,,8,トランザクションアイテムを選択してください,,7,거래 항목을 선택하십시오,,9,Vui lòng chọn hạng mục giao dịch,,15,search.a13
交易方向,交易方向,Trading Direction,,ทิศทางการซื้อขาย,,4,トランザクションの方向,,4,거래 방향,,5,Hướng giao dịch,,9,"search.a14,overallOverview.a73"
請選擇交易方向,请选择交易方向,Please select a trading direction.,,โปรดเลือกทิศทางการซื้อขาย,,8,トランザクションの方向を選択してください,,7,거래 방향을 선택하십시오,,9,Vui lòng chọn phương hướng giao dịch,,15,search.a15
買入,买入,Buy,,ซื้อ,,2,買う,,2,구입하다,,2,Mua vào,,4,search.a16
賣出,卖出,Sell,,ขาย,,2,売る,,2,팔다,,2,Bán ra,,4,search.a17
逐倉,逐仓,Isolated Margin,,Isolated Margin,,2,逐倉,,2,상호 작용,,2,Vị thế giao dịch,,4,search.a18
請選擇類型,请选择类型,Please select a type.,,กรุณาเลือกประเภท,,5,タイプを選択してください,,5,유형을 선택하십시오,,7,Vui lòng chọn loại hình,,11,search.a19
請輸入用戶編號來搜尋,,,,,,11,,,10,,,14,,,22,search.a20
請輸入手機號碼來搜尋,,,,,,11,,,10,,,14,,,22,search.a21
驗證狀態,,,,,,4,,,4,,,5,,,9,search.a22
註冊時間,注册时间,Registration Date,,วันที่ลงทะเบียน,,4,登録時間,,4,등록 시간,,5,Thời gian đăng ký,,9,"search.a23,overallOverview.a20,userManagement.a23"
總入金金額,,,,,,5,,,5,,,7,,,11,search.a24
總交易金額,,,,,,5,,,5,,,7,,,11,search.a25
代理推薦碼,,,,,,5,,,5,,,7,,,11,"search.a26,userManagement.a25"
用戶標籤,,,,,,4,,,4,,,5,,,9,"search.a27,setting.userTag"
請輸入姓名、手機號碼來搜尋,,,,,,15,,,13,,,18,,,29,search.a28
入金方式,,,,,,4,,,4,,,5,,,9,"search.a29,overallOverview.a11,userManagement.a91,depositWithdrawalManagement.a10"
入金金額,入金金额,Deposit Amount,,จำนวนเงินฝาก,,4,入金金額,,4,금액 예금,,5,Số nhập tiền,,9,"search.a30,depositWithdrawalManagement.a31"
品種,品种,Instrument,,รายการ,,2,バラエティ,,2,다양성,,2,Loại,,4,search.a31
標籤,,,,,,2,,,2,,,2,,,4,"search.a32,transactionItemList.a7"
