zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,ind,印度字數,建議字數,jsonKey
已切換為{state},已切换为{state},Changed to {state},,เปลี่ยน {state},,,{state}に切り替えます,,,{state}로 전환,,,Đã chuyển đổi thành {state},,,में परिवर्तित{state},,,app.changeAccountType
模擬,模拟,Demo,,จำลอง,,,シミュレーション,,,시뮬레이션,,,Mô phỏng,,,डेमो अकाउंट,,,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,真实,Real,,จริง,,,現実,,,현실,,,Thực,,,डेमो खाता,,,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
"登入效期已過
 請重新登入","登入效期已过
 请重新登入","Your login has expired. 
Please log in again.",,"การเข้าสู่ระบบของคุณหมดอายุแล้ว
 กรุณาเข้าสู่ระบบอีกครั้ง",,,"有効期間をログインします
もう一度ログインしてください",,,"유효 기간에 로그인하십시오
다시 로그인하십시오",,,"Hết thời hạn đăng nhập
 Vui lòng đăng nhập lại",,,लॉगिन वैधता अवधि समाप्त हो गई है। कृपया पुनः लॉग इन करें।,,,app.loginAuthExpiredPopup.title
訂單確認中，請稍等。,订单确认中，请稍等。,"Order confirmation in progress, please wait.",,การยืนยันคำสั่งซื้อกำลังดำเนินการ โปรดรอ,,,ご注文確認中、お待ちください。,,,,,,"Đơn hàng của bạn đang được xác nhận, vui lòng đợi.",,,"आदेश की पुष्टि की जा रही है, कृपया प्रतीक्षा करें।",,,app.huioneSuccessPopup.title
入金,入金,Deposit,,เงินฝาก,,,ストレージ値,,,저장 가치,,,Nhập tiền,,,जमा करें,,,"assets.depositButton,home.depositButton,paymentHistory.typeDeposit,agentUserPaymentHistoryList.deposit,depositThirdParty.webAppTitle"
倉位,仓位,Positions,,ตำแหน่ง,,,位置,,,위치,,,Vị trí,,,पोजीशन,,,"assets.positions,menu.positions"
訪客,访客,Guest,,Guest,,,ビジター,,,방문객,,,Khách truy cập,,,आगंतुक,,,"assets.guestName,memberCenter.guestName"
盈虧,盈亏,P/L,,กำไรหรือขาดทุน,,,利益と損失,,,이익과 손실,,,Lãi lỗ,,,P/L,,,"assets.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle,positions.profitLoss,transactionHistory.profitLoss,transactionHistoryDetail.netProfitLoss,tickValueSheet.profitLoss"
出入金紀錄,出入金纪录,Deposit and Withdrawal Records,,ประวัติการฝากถอน,,,ゴールドレコードに出入りする,,,금 기록에 들어오고 나갑니다,,,Ghi chép xuất nhập tiền,,,जमा और निकासी रिकॉर्ड,,,"assets.paymentHistory,paymentHistory.appBarTitle,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle"
