zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
搜尋,,Search,,,,,,,,,,,,,,search.a1
清除,清除,Clear,,ชัดเจน,,,,,,,,,Thanh trừ,Thanh trừ,,search.a2
其他篩選條件,,Other filters,,,,,,,,,,,,,,search.a3
清除所有篩選條件,,Clear all filters,,,,,,,,,,,,,,search.a4
篩選,筛选,Filter,,กรอง,,,,,,,,,Sàng lọc,Sàng lọc,,search.a5
日期,日期,Date,,วันที่,,,,,,,,,Ngày tháng,Ngày tháng,,search.a6
起始日期,,Start date,,,,,,,,,,,,,,search.a7
結束日期,,End date,,,,,,,,,,,,,,search.a8
請選擇國家,,Select country,,,,,,,,,,,,,,search.a9
請輸入姓名來搜尋,,Search by name,,,,,,,,,,,,,,search.a10
交易數量,,Volume of trade,,,,,,,,,,,,,,search.a11
交易品項,交易品项,Trading Items,,รายการซื้อขาย,,,,,,,,,Hạng mục giao dịch,Hạng mục giao dịch,,"search.a12,overallOverview.a81,transactionItemList.a3"
請選擇交易品項,请选择交易品项,Please select a trading item.,,กรุณาเลือกรายการซื้อขาย,,,,,,,,,Vui lòng chọn hạng mục giao dịch,Vui lòng chọn hạng mục giao dịch,,search.a13
交易方向,交易方向,Trading Direction,,ทิศทางการซื้อขาย,,,,,,,,,Hướng giao dịch,Hướng giao dịch,,"search.a14,overallOverview.a73"
請選擇交易方向,请选择交易方向,Please select a trading direction.,,โปรดเลือกทิศทางการซื้อขาย,,,,,,,,,Vui lòng chọn phương hướng giao dịch,Vui lòng chọn phương hướng giao dịch,,search.a15
買入,买入,Buy,,ซื้อ,,,,,,,,,Mua vào,Mua vào,,search.a16
賣出,卖出,Sell,,ขาย,,,,,,,,,Bán ra,Bán ra,,search.a17
逐倉,逐仓,Isolated Margin,,Isolated Margin,,,,,,,,,Vị thế giao dịch,Vị thế giao dịch,,search.a18
請選擇類型,请选择类型,Please select a type.,,กรุณาเลือกประเภท,,,,,,,,,Vui lòng chọn loại hình,Vui lòng chọn loại hình,,search.a19
請輸入用戶編號來搜尋,,Search by account number,,,,,,,,,,,,,,search.a20
請輸入手機號碼來搜尋,,Search by cell phone number,,,,,,,,,,,,,,search.a21
驗證狀態,,Verification status,,,,,,,,,,,,,,search.a22
註冊時間,注册时间,Registration Date,,วันที่ลงทะเบียน,,,,,,,,,Thời gian đăng ký,Thời gian đăng ký,,"search.a23,overallOverview.a20,userManagement.a23"
總入金金額,,Total amount of deposit fund,,,,,,,,,,,,,,search.a24
總交易金額,,Total trading value,,,,,,,,,,,,,,search.a25
代理推薦碼,,Referral code,,,,,,,,,,,,,,"search.a26,userManagement.a25"
用戶標籤,,User tag,,,,,,,,,,,,,,"search.a27,setting.userTag"
請輸入姓名、手機號碼來搜尋,,Search by name and cell phone number,,,,,,,,,,,,,,search.a28
入金方式,,Deposit methods,,,,,,,,,,,,,,"search.a29,overallOverview.a11,userManagement.a91,depositWithdrawalManagement.a10"
入金金額,入金金额,Deposit Amount,,จำนวนเงินฝาก,,,,,,,,,Số nhập tiền,Số nhập tiền,,"search.a30,depositWithdrawalManagement.a31"
品種,品种,Instrument,,รายการ,,,,,,,,,Loại,Loại,,search.a31
標籤,,Tags,,,,,,,,,,,,,,"search.a32,transactionItemList.a7"
狀態,状态,Status,,สถานะ,,,,,,,,,Trạng thái,Trạng thái,,"search.a33,overallOverview.a79,transactionItemList.a2,userManagement.a19,setting.state"
槓桿,杠杆,Leverage,,Leverage,,,,,,,,,Đòn bẩy,Đòn bẩy,,"search.a34,overallOverview.a84,transactionItemList.a10"
點差,点差,Spread,,Spread,,,,,,,,,Giá chênh lệch,Giá chênh lệch,,"search.a35,userManagement.a103"
請輸入貨幣名稱,,Enter currency,,,,,,,,,,,,,,search.a36
請輸入貨幣兌,,Enter currency pair,,,,,,,,,,,,,,search.a37
訂單號,订单号,Order No,,เลขที่ใบสั่งซื้อ,,,,,,,,,Số Đơn đặt hàng,Số Đơn đặt hàng,,"overallOverview.a69,depositWithdrawalManagement.a4"
